Category, Price of item in category, Quantity of item sold
Office Supplies,990.01,1
Office Supplies,2763.68,5
Office Supplies,1014.65,3
Office Supplies,2501.77,4
Office Supplies,1563.92,8
Office Supplies,2349.67,9
Office Supplies,2689.46,4
Office Supplies,1494.38,4
Office Supplies,2678.41,6
Office Supplies,1113.04,3
Office Supplies,1450.79,10
Office Supplies,2468.37,2
Office Supplies,909.22,10
Office Supplies,1271.95,7
Office Supplies,1365.61,1
Office Supplies,1272.48,4
Office Supplies,1065.45,3
Office Supplies,1011.29,4
Office Supplies,1675.39,1
Office Supplies,2121.15,6
Office Supplies,2440.98,7
Office Supplies,1648.35,5
Office Supplies,1738.88,2
Office Supplies,2322.83,11
Office Supplies,879.43,11
Office Supplies,723.01,4
Office Supplies,2582.45,10
Office Supplies,1317.52,4
Office Supplies,2379.55,1
Office Supplies,2667.64,2
Office Supplies,751.81,5
Office Supplies,2842.83,7
Office Supplies,1811.9,4
Furniture,1106.74,9
Office Supplies,2885.86,11
Office Supplies,1638.32,10
Technology,1052.65,9
Office Supplies,2746.93,5
Office Supplies,1301.2,1
Office Supplies,953.74,8
Office Supplies,1965.74,6
Office Supplies,2244.51,8
Office Supplies,1884.01,11
Office Supplies,1748.32,7
Office Supplies,1180.89,4
Office Supplies,2879.14,5
Office Supplies,735.01,5
Office Supplies,1355.63,7
Furniture,521.51,3
Office Supplies,1820.28,10
Office Supplies,2802.71,4
Office Supplies,1041.22,1
Office Supplies,1734.09,5
Furniture,1245.86,5
Technology,1670.5,7
Office Supplies,798.83,10
Office Supplies,1858.49,7
Office Supplies,2561.46,1
Office Supplies,2233.64,7
Office Supplies,914.79,10
Office Supplies,1157.28,6
Furniture,2972.64,10
Office Supplies,2213.87,1
Office Supplies,780.39,10
Office Supplies,1491.54,2
Office Supplies,1683.34,10
Office Supplies,1811.34,11
Office Supplies,1146.82,7
Office Supplies,1890.13,4
Office Supplies,2028.49,8
Office Supplies,786.26,10
Office Supplies,1498.56,3
Office Supplies,2310.39,8
Office Supplies,900.58,6
Office Supplies,1395.88,1
Office Supplies,1967.71,3
Office Supplies,1228.8,1
Office Supplies,2896.75,9
Office Supplies,1386.43,7
Office Supplies,1723.58,1
Office Supplies,2732.42,3
Technology,1195.33,11
Office Supplies,1154.19,2
Office Supplies,550.3,4
Office Supplies,1703.81,10
Office Supplies,2769.13,10
Office Supplies,744.97,11
Office Supplies,2367.97,1
Office Supplies,1505.44,4
Office Supplies,2156.43,2
Office Supplies,557.23,10
Office Supplies,1262.63,6
Office Supplies,2273.02,9
Office Supplies,639.93,4
Office Supplies,1950.24,2
Office Supplies,2164.47,9
Office Supplies,2021.67,8
Office Supplies,1329.19,4
Office Supplies,2936.01,3
Office Supplies,2154.42,5
Office Supplies,2253.28,1
Office Supplies,2802.43,1
Office Supplies,2251.18,10
Office Supplies,1985,1
Office Supplies,2129.4,11
Office Supplies,2140.1,7
Office Supplies,2363.6,8
Office Supplies,772.95,7
Office Supplies,539.76,3
Office Supplies,2374.32,2
Technology,866.86,11
Office Supplies,2458.55,5
Technology,1053.43,5
Technology,2085.96,1
Furniture,2756.08,1
Technology,528.91,7
Office Supplies,786.8,8
Office Supplies,1104.17,11
Office Supplies,758.05,11
Office Supplies,2671.54,5
Furniture,660.92,8
Office Supplies,1001.95,5
Office Supplies,2209.76,8
Office Supplies,1958.15,9
Office Supplies,1348.91,6
Office Supplies,2335.9,7
Office Supplies,1440.85,4
Office Supplies,858.57,3
Office Supplies,1433.69,1
Office Supplies,2348,5
Office Supplies,1217.38,4
Office Supplies,1349.88,8
Furniture,1906.02,1
Office Supplies,2133.23,3
Office Supplies,547.29,7
Office Supplies,1116.94,6
Office Supplies,1633.44,9
Office Supplies,1077.96,5
Office Supplies,1530.78,8
Office Supplies,2336.99,5
Office Supplies,1821.56,8
Office Supplies,1190.93,6
Office Supplies,2463.26,3
Office Supplies,803.11,4
Office Supplies,1271.27,5
Office Supplies,2281.09,6
Office Supplies,562.71,6
Office Supplies,1669.41,8
Technology,907.4,2
Furniture,785.03,5
Office Supplies,2998.59,8
Office Supplies,1394.16,1
Office Supplies,617.68,8
Office Supplies,2910.08,4
Office Supplies,1845.3,9
Office Supplies,1015.89,1
Office Supplies,1394.29,11
Office Supplies,1638.77,6
Office Supplies,2169.51,7
Office Supplies,1222.75,10
Office Supplies,1114.49,3
Office Supplies,2035.44,2
Office Supplies,2687.77,3
Office Supplies,2265.21,3
Office Supplies,531.85,8
Office Supplies,2706.26,3
Office Supplies,2798.52,4
Office Supplies,1618.45,9
Office Supplies,2174.97,10
Office Supplies,690.29,5
Office Supplies,800.93,4
Office Supplies,1922.31,7
Furniture,1366.68,2
Technology,2500.99,3
Office Supplies,761.74,6
Office Supplies,1113.84,1
Office Supplies,2983.52,11
Office Supplies,2995.39,4
Office Supplies,2281.18,8
Office Supplies,820.22,1
Office Supplies,2372.63,6
Furniture,1220.86,8
Office Supplies,838.83,10
Office Supplies,2998.63,5
Office Supplies,1531.18,3
Furniture,878.55,7
Office Supplies,1471.41,1
Office Supplies,993.27,10
Office Supplies,2231.99,10
Office Supplies,2546.86,8
Office Supplies,2745.6,9
Technology,2129.78,11
Office Supplies,1248.43,9
Furniture,2828.08,10
Office Supplies,1341.48,8
Office Supplies,2182.51,1
Office Supplies,1691.35,1
Office Supplies,2117.42,5
Office Supplies,2554.27,2
Office Supplies,2531.02,8
Office Supplies,1221.39,9
Office Supplies,2744.59,4
Office Supplies,1155.89,1
Office Supplies,1068.9,4
Office Supplies,2541.09,11
Office Supplies,2805.09,5
Technology,2831.57,7
Office Supplies,2939.95,11
Technology,1602.99,10
Office Supplies,580.79,9
Office Supplies,1321.07,7
Furniture,1955.04,4
Office Supplies,1892.25,1
Office Supplies,2547.89,5
Office Supplies,2949.77,9
Office Supplies,585.8,11
Office Supplies,1455.27,2
Furniture,2083.46,9
Office Supplies,930.07,1
Office Supplies,741.09,6
Office Supplies,549.57,3
Office Supplies,1111.95,8
Office Supplies,1650.59,7
Office Supplies,1606.2,3
Office Supplies,1884.15,9
Office Supplies,577.3,6
Office Supplies,1647.07,2
Office Supplies,2165.65,2
Office Supplies,2404.67,3
Office Supplies,2787.59,1
Office Supplies,2067.19,5
Office Supplies,2136.07,11
Office Supplies,2953.15,5
Office Supplies,1854.97,1
Office Supplies,2199.31,11
Office Supplies,907.24,10
Office Supplies,2398.03,10
Office Supplies,2645.73,11
Office Supplies,2534.3,7
Office Supplies,2226.87,5
Office Supplies,987.17,9
Office Supplies,1362.86,1
Office Supplies,869.17,2
Office Supplies,2767.09,5
Office Supplies,1223.72,4
Office Supplies,2106.57,5
Office Supplies,2141.45,6
Office Supplies,2879.42,6
Office Supplies,1002.82,9
Office Supplies,996.94,9
Office Supplies,1503.7,7
Office Supplies,2779.02,1
Office Supplies,575.63,2
Office Supplies,2697.5,9
Office Supplies,609.61,7
Office Supplies,2098.47,6
Technology,2126.54,1
Office Supplies,948.21,4
Office Supplies,1684.47,10
Office Supplies,2717.04,10
Office Supplies,859.11,9
Office Supplies,2502.27,3
Office Supplies,2696.08,11
Office Supplies,1502.17,10
Furniture,1986.95,6
Office Supplies,2662.26,6
Office Supplies,2325.09,9
Office Supplies,1096.31,5
Office Supplies,1416.77,11
Office Supplies,2928.19,9
Office Supplies,2957.82,7
Furniture,644.85,3
Office Supplies,1692.56,4
Office Supplies,2102.24,5
Office Supplies,1089.16,6
Office Supplies,1888.37,9
Office Supplies,1442.27,5
Furniture,1543.56,8
Office Supplies,2328.34,9
Office Supplies,1836.03,9
Office Supplies,1131.36,1
Office Supplies,629.83,3
Office Supplies,2646.06,5
Office Supplies,1296.1,3
Office Supplies,2881.04,8
Office Supplies,2362.03,11
Office Supplies,1088.1,11
Office Supplies,1364.06,6
Office Supplies,2453.59,1
Office Supplies,1443.6,4
Office Supplies,1907.28,10
Office Supplies,2559.33,1
Office Supplies,2241.59,6
Office Supplies,576.06,7
Office Supplies,933.65,11
Office Supplies,1157.52,1
Office Supplies,2723.84,1
Office Supplies,2639.24,9
Office Supplies,2010.84,5
Office Supplies,1886.58,7
Technology,1366.36,3
Office Supplies,1866.29,4
Office Supplies,1975.48,9
Office Supplies,542.63,1
Office Supplies,2354.09,10
Furniture,1081.08,10
Office Supplies,1946.33,2
Office Supplies,1733.89,9
Furniture,2835.9,6
Office Supplies,2038.82,11
Office Supplies,1119.63,10
Office Supplies,879.8,8
Office Supplies,1553.76,10
Office Supplies,1899.38,3
Office Supplies,1838.21,1
Office Supplies,776.21,8
Office Supplies,1305.25,4
Office Supplies,867.37,6
Office Supplies,1413.31,7
Office Supplies,1487.59,3
Office Supplies,2658.27,2
Office Supplies,1552.84,6
Office Supplies,2029.91,6
Furniture,542.18,11
Office Supplies,2696.18,2
Office Supplies,2142.27,6
Office Supplies,2559.41,11
Office Supplies,887.23,3
Office Supplies,1822.37,5
Office Supplies,520.78,1
Furniture,2736.33,2
Office Supplies,1807.97,4
Office Supplies,1294.42,1
Office Supplies,2553.19,1
Office Supplies,930.11,6
Office Supplies,525.98,7
Office Supplies,1689.52,3
Office Supplies,2314.45,3
Office Supplies,1657.28,2
Office Supplies,1970.91,8
Office Supplies,2925.4,1
Office Supplies,2657.61,9
Office Supplies,534.58,3
Office Supplies,1262.4,9
Office Supplies,2273.8,10
Office Supplies,1121.88,8
Office Supplies,2569.51,6
Furniture,2748.57,10
Office Supplies,507.49,6
Office Supplies,1311.97,7
Office Supplies,2020.94,9
Office Supplies,1021.93,9
Office Supplies,2915.48,1
Office Supplies,1025.79,2
Office Supplies,1039.83,5
Office Supplies,673.99,9
Office Supplies,1406.63,9
Office Supplies,567.42,9
Office Supplies,2417.45,10
Office Supplies,2655.76,1
Office Supplies,1296.76,5
Office Supplies,2859.02,6
Office Supplies,1526.96,2
Office Supplies,982.85,4
Office Supplies,1640.92,1
Office Supplies,1157.22,8
Office Supplies,1443.16,5
Office Supplies,1661.37,6
Office Supplies,1128.86,7
Office Supplies,2886.77,4
Office Supplies,764.62,4
Office Supplies,1113.15,6
Furniture,2609.34,7
Office Supplies,1827.62,5
Office Supplies,842.85,6
Furniture,1547.86,6
Technology,746.91,6
Office Supplies,630.37,5
Office Supplies,2943.52,2
Office Supplies,663.21,7
Technology,1643.14,3
Office Supplies,1389.22,2
Office Supplies,1326.7,6
Office Supplies,2754.29,4
Office Supplies,2973.91,2
Office Supplies,1271.81,10
Office Supplies,2834.75,4
Technology,2778.65,3
Office Supplies,803.88,4
Office Supplies,2990.82,3
Office Supplies,2319.33,10
Technology,1654.19,3
Office Supplies,2240.02,10
Office Supplies,1203.57,9
Office Supplies,1122.23,10
Office Supplies,2564.06,6
Office Supplies,1476.93,2
Office Supplies,742.65,2
Office Supplies,2848.74,5
Office Supplies,1804.56,9
Office Supplies,568.69,6
Office Supplies,913.25,4
Office Supplies,1836.73,8
Office Supplies,1240.07,6
Office Supplies,2934.17,8
Office Supplies,1940.93,2
Furniture,2529.84,8
Office Supplies,2722.46,4
Office Supplies,2165.74,3
Office Supplies,2517.32,10
Office Supplies,2409.01,2
Office Supplies,2891.48,4
Office Supplies,1164.92,6
Office Supplies,1270.73,3
Office Supplies,2222.89,9
Office Supplies,2097.38,9
Office Supplies,1972.92,7
Office Supplies,2383.56,6
Office Supplies,2484.83,1
Office Supplies,1277.23,6
Office Supplies,2398.61,1
Office Supplies,1489.12,9
Office Supplies,2071.86,6
Office Supplies,2972.67,7
Office Supplies,1672.11,4
Office Supplies,2406.67,7
Office Supplies,769.16,4
Furniture,2297.85,3
Office Supplies,1368.38,1
Furniture,715.51,2
Office Supplies,2752.75,6
Office Supplies,554.22,3
Furniture,2251.63,11
Office Supplies,1626.31,7
Office Supplies,2292.37,1
Office Supplies,841.09,4
Office Supplies,2489.16,9
Office Supplies,2081.12,4
Office Supplies,1386.99,11
Office Supplies,1429.55,10
Furniture,2870.82,9
Office Supplies,502.27,11
Office Supplies,1615.89,11
Office Supplies,1351.55,2
Office Supplies,2749.16,2
Technology,2114.64,1
Office Supplies,1700,6
Office Supplies,1105.48,8
Office Supplies,1384.46,5
Technology,786.04,10
Office Supplies,619.91,9
Office Supplies,2094.8,6
Office Supplies,738.68,4
Office Supplies,2365.84,5
Office Supplies,1129.96,6
Office Supplies,1397.74,11
Office Supplies,2513.07,7
Office Supplies,2053.34,2
Office Supplies,2640.77,10
Office Supplies,1211.88,11
Office Supplies,1864.86,7
Furniture,1894.37,11
Office Supplies,716.9,6
Office Supplies,2330.54,9
Office Supplies,2770.69,7
Office Supplies,1586.97,5
Office Supplies,2850.49,2
Office Supplies,784.82,3
Office Supplies,2926.43,11
Office Supplies,1375.32,4
Office Supplies,1727.15,1
Office Supplies,1329.43,3
Office Supplies,1886.24,2
Office Supplies,2424.54,4
Office Supplies,2896.16,11
Furniture,758.86,11
Office Supplies,2347.15,9
Office Supplies,2698.92,1
Office Supplies,1093.26,10
Office Supplies,615.58,2
Furniture,1079.96,9
Office Supplies,2510.46,8
Technology,941.7,10
Office Supplies,2692.09,10
Office Supplies,2991.76,10
Office Supplies,1065.96,11
Office Supplies,874.49,2
Office Supplies,1834.69,6
Office Supplies,1681.18,7
Furniture,1016.62,9
Furniture,1379.54,7
Office Supplies,1428.25,1
Office Supplies,2613.38,10
Office Supplies,2206.16,4
Office Supplies,2567.85,1
Office Supplies,2578.83,2
Office Supplies,698.7,1
Office Supplies,1021.34,5
Office Supplies,1604.85,7
Office Supplies,913.31,8
Office Supplies,2606.03,5
Office Supplies,2971.22,9
Office Supplies,2724.89,8
Office Supplies,2584.24,1
Office Supplies,580.25,6
Office Supplies,860.9,1
Office Supplies,1369.88,6
Technology,1001.62,8
Office Supplies,1361.31,4
Office Supplies,1679.66,5
Office Supplies,1954.26,4
Office Supplies,513.48,8
Office Supplies,1022.23,8
Office Supplies,2093.14,11
Office Supplies,860.97,4
Office Supplies,2722.28,1
Office Supplies,1652.76,6
Office Supplies,2715.43,8
Office Supplies,2515.07,5
Furniture,2854.95,3
Office Supplies,1316.07,1
Office Supplies,2637.67,7
Office Supplies,1765.85,4
Office Supplies,2601.44,2
Office Supplies,2097.11,11
Office Supplies,506.99,3
Office Supplies,2831.25,10
Office Supplies,2098.16,4
Office Supplies,2342.65,1
Furniture,1782,8
Office Supplies,1223.8,7
Office Supplies,2261.29,1
Office Supplies,865.89,4
Office Supplies,1139.16,9
Office Supplies,2881.86,7
Office Supplies,1967.79,4
Office Supplies,2950.94,2
Furniture,1868.24,11
Office Supplies,1676.12,5
Office Supplies,2641.32,9
Office Supplies,2946.51,4
Office Supplies,2974.41,10
Office Supplies,2547.5,3
Office Supplies,624.93,3
Office Supplies,1082.33,11
Furniture,2099.53,7
Office Supplies,2759.78,4
Office Supplies,2812.69,1
Office Supplies,2876.38,4
Office Supplies,785.73,4
Office Supplies,617.94,3
Office Supplies,868.44,2
Office Supplies,626.94,11
Office Supplies,531,5
Office Supplies,2011.47,1
Office Supplies,1481.3,3
Office Supplies,2999.19,8
Office Supplies,1027.89,5
Office Supplies,2790.86,5
Furniture,1994.95,2
Office Supplies,623.16,10
Office Supplies,934.43,11
Office Supplies,1774.93,6
Technology,2400.39,7
Office Supplies,2916.87,11
Office Supplies,1499.17,7
Office Supplies,2617.07,1
Office Supplies,1100.43,6
Office Supplies,1536.84,8
Office Supplies,1851.21,3
Office Supplies,2828.95,1
Furniture,538.2,3
Office Supplies,1436.35,9
Technology,1770.42,1
Office Supplies,2472,3
Office Supplies,2231.68,8
Office Supplies,1481.49,2
Office Supplies,773.02,1
Office Supplies,878.7,11
Office Supplies,1471.57,5
Office Supplies,2934.66,11
Office Supplies,1383.44,11
Office Supplies,2258.73,11
Office Supplies,2420.9,8
Office Supplies,865.61,9
Office Supplies,2014.63,9
Office Supplies,2677.97,5
Office Supplies,2101.08,2
Office Supplies,691.48,10
Furniture,945.67,8
Office Supplies,1672.58,6
Office Supplies,1761.61,7
Office Supplies,2078.79,2
Office Supplies,2468.45,2
Office Supplies,1674.81,9
Office Supplies,1408.4,10
Office Supplies,2862.78,7
Office Supplies,1873.02,6
Office Supplies,2482.26,6
Furniture,2808.92,7
Office Supplies,1452.64,10
Office Supplies,2554.99,3
Office Supplies,1198.33,7
Office Supplies,601.74,7
Office Supplies,2394.39,4
Office Supplies,1157.98,4
Office Supplies,2907.84,4
Office Supplies,2712.66,9
Office Supplies,1357.99,10
Office Supplies,2808.94,8
Office Supplies,1328.99,6
Office Supplies,2619.83,11
Office Supplies,2799.43,10
Office Supplies,664.79,3
Office Supplies,1800.39,2
Office Supplies,2116.33,7
Furniture,924.73,2
Office Supplies,2165.27,5
Office Supplies,1220.21,10
Office Supplies,1590.36,4
Office Supplies,2348.34,5
Office Supplies,1078.69,11
Furniture,953.59,6
Office Supplies,2980.11,2
Office Supplies,1995.51,11
Furniture,2134.65,8
Office Supplies,1763.69,1
Office Supplies,963.5,3
Office Supplies,2345.4,3
Office Supplies,1261.26,8
Technology,2002.25,4
Office Supplies,611.29,5
Office Supplies,2549.73,2
Office Supplies,1682.86,2
Office Supplies,1616.12,7
Office Supplies,2166.15,3
Office Supplies,790.47,7
Office Supplies,1888.73,11
Office Supplies,2487.79,11
Office Supplies,810.08,7
Technology,2959.06,11
Office Supplies,753.49,11
Office Supplies,2729.8,5
Office Supplies,1247.72,11
Office Supplies,849.9,8
Office Supplies,2875.16,3
Office Supplies,1295.91,3
Office Supplies,1164.26,1
Office Supplies,1060.9,10
Office Supplies,998.47,8
Office Supplies,2154.8,6
Office Supplies,1613.1,7
Office Supplies,1685.37,2
Office Supplies,2207.66,4
Office Supplies,1796.4,9
Office Supplies,1150.65,8
Office Supplies,2661.05,10
Office Supplies,2905.77,10
Technology,2505.21,2
Office Supplies,1563.5,4
Office Supplies,2314.48,6
Office Supplies,1945.29,10
Office Supplies,1640.22,1
Furniture,1326.7,6
Office Supplies,2201.95,9
Office Supplies,1638.94,7
Office Supplies,1607.04,7
Office Supplies,990.86,11
Office Supplies,2301.92,3
Office Supplies,2758.92,4
Office Supplies,1293.87,6
Office Supplies,2520.51,7
Office Supplies,1457.79,5
Office Supplies,2027.61,10
Office Supplies,2470.41,4
Technology,2196.66,6
Office Supplies,1205.15,4
Office Supplies,1513.72,1
Office Supplies,1516.24,2
Office Supplies,1552.21,9
Office Supplies,2242.83,4
Furniture,1273.82,9
Office Supplies,2853.53,10
Office Supplies,2930.59,8
Office Supplies,1823.23,5
Office Supplies,2021.46,8
Office Supplies,607.93,8
Office Supplies,645.21,2
Office Supplies,2244.31,6
Office Supplies,1063.21,7
Furniture,1811.07,10
Office Supplies,2870.06,7
Office Supplies,2922.78,11
Office Supplies,2214.38,9
Office Supplies,2888.07,5
Office Supplies,810.33,9
Office Supplies,1216.16,3
Office Supplies,1395.85,1
Office Supplies,1244.58,3
Office Supplies,2886.01,2
Furniture,2739.88,6
Office Supplies,1617.74,8
Office Supplies,2978.93,1
Office Supplies,2611.01,10
Office Supplies,2894.98,5
Office Supplies,1575.96,9
Office Supplies,1097.42,8
Office Supplies,2065.88,4
Office Supplies,2681.63,4
Office Supplies,1122.9,8
Office Supplies,1103.1,7
Office Supplies,842.95,11
Technology,1124.45,6
Office Supplies,1925.15,7
Office Supplies,2461.85,10
Office Supplies,589.43,5
Office Supplies,1276.34,6
Office Supplies,2687.94,4
Office Supplies,2723.6,1
Office Supplies,2786.23,11
Office Supplies,1799.73,6
Office Supplies,2908.37,8
Office Supplies,990.8,9
Office Supplies,2177.97,11
Office Supplies,1546.1,1
Office Supplies,2217.78,10
Office Supplies,1481.77,5
Office Supplies,2813.19,2
Office Supplies,2867.92,10
Office Supplies,1487.38,5
Office Supplies,1132,5
Office Supplies,2962.93,11
Office Supplies,600.55,10
Furniture,2000.63,7
Office Supplies,2513.23,2
Office Supplies,1760.27,11
Office Supplies,2746.08,4
Office Supplies,2640.82,9
Furniture,2326.95,6
Office Supplies,1744.26,4
Office Supplies,875.72,6
Office Supplies,2202.97,10
Office Supplies,1346.77,2
Office Supplies,2596.96,7
Office Supplies,643.11,9
Office Supplies,2115.63,4
Office Supplies,1442.32,7
Office Supplies,2234.55,5
Office Supplies,566.74,8
Office Supplies,1549.69,10
Office Supplies,1716.41,7
Office Supplies,2050.16,6
Office Supplies,2896.75,3
Office Supplies,2099.13,4
Office Supplies,1326.43,11
Office Supplies,1009.34,11
Office Supplies,1428.28,7
Office Supplies,2941.69,10
Office Supplies,1241.66,9
Office Supplies,967.04,6
Office Supplies,2562.12,3
Office Supplies,2126.18,5
Office Supplies,1008.29,4
Office Supplies,509.63,11
Office Supplies,2741.46,11
Office Supplies,2887.56,8
Office Supplies,2056.05,10
Office Supplies,1824.69,9
Office Supplies,2613.07,1
Office Supplies,661,7
Office Supplies,1181.86,5
Office Supplies,2066.98,5
Office Supplies,871.21,4
Office Supplies,1751.61,4
Office Supplies,1588.97,3
Office Supplies,2419.74,10
Office Supplies,1242.66,2
Office Supplies,918.04,7
Office Supplies,1743.08,7
Office Supplies,2047.17,3
Office Supplies,1962.78,9
Furniture,2444.87,9
Office Supplies,1831.03,11
Office Supplies,2896.12,6
Office Supplies,874.11,3
Office Supplies,2611.24,1
Office Supplies,1272.2,5
Office Supplies,2332.87,2
Office Supplies,951.19,8
Furniture,811.37,5
Office Supplies,1037.79,5
Office Supplies,1394.2,5
Office Supplies,618.64,9
Office Supplies,1946.41,4
Office Supplies,1479.08,2
Office Supplies,1991.3,6
Office Supplies,682.72,11
Furniture,1586.33,3
Furniture,2452.21,6
Office Supplies,1729.5,8
Office Supplies,2541.36,5
Office Supplies,2795.83,7
Office Supplies,2753.94,5
Office Supplies,2597.31,10
Office Supplies,571.86,6
Office Supplies,1928.43,1
Office Supplies,2750.69,9
Office Supplies,2134.18,3
Office Supplies,2721.64,11
Office Supplies,2619.86,3
Office Supplies,2591.27,11
Office Supplies,2807.82,6
Office Supplies,2342.91,4
Office Supplies,2653.01,2
Office Supplies,1042.87,2
Technology,2219.5,3
Office Supplies,1219.32,5
Office Supplies,2324.8,5
Office Supplies,1779.26,2
Office Supplies,908.09,1
Office Supplies,1029.84,9
Office Supplies,2918.2,5
Office Supplies,2380.26,6
Office Supplies,942.47,5
Office Supplies,682.97,8
Office Supplies,2371.44,10
Furniture,1372.64,4
Office Supplies,2175.79,4
Office Supplies,2533.35,10
Office Supplies,2240.89,2
Office Supplies,2853.72,2
Office Supplies,1484.88,6
Furniture,1461.65,11
Office Supplies,573.99,11
Office Supplies,1591.14,5
Furniture,1033.34,11
Furniture,2158.88,7
Office Supplies,1844.55,6
Office Supplies,1484.98,6
Office Supplies,2077.91,2
Office Supplies,1706.44,10
Office Supplies,2653.52,5
Office Supplies,1911.52,5
Office Supplies,1084.28,4
Office Supplies,1684.49,3
Office Supplies,2965.79,1
Office Supplies,2242.18,8
Office Supplies,2430.54,1
Office Supplies,1573.04,3
Office Supplies,2235.6,8
Office Supplies,2245.41,10
Office Supplies,1754.56,8
Office Supplies,632.29,2
Office Supplies,2871.65,3
Office Supplies,2634.56,1
Furniture,1044.94,11
Office Supplies,1261.88,8
Office Supplies,2606.53,1
Office Supplies,720.84,8
Office Supplies,884.1,2
Office Supplies,542.46,5
Furniture,2464.6,11
Office Supplies,966.33,7
Office Supplies,1827.08,5
Technology,756.87,5
Furniture,667.53,8
Furniture,1709.77,8
Office Supplies,739.68,3
Office Supplies,1673.47,4
Furniture,2477.11,1
Office Supplies,2454.82,5
Office Supplies,1525.72,9
Office Supplies,2249.36,11
Office Supplies,1651.5,8
Office Supplies,869.4,7
Office Supplies,544.64,10
Office Supplies,2177.5,8
Office Supplies,882.85,3
Office Supplies,2543.1,4
Office Supplies,2658.01,8
Office Supplies,1858.45,4
Office Supplies,1291.64,3
Office Supplies,2089.75,1
Office Supplies,1746.16,1
Office Supplies,2924.75,6
Office Supplies,2276.44,4
Office Supplies,1361.89,2
Office Supplies,2204.89,8
Office Supplies,2884.05,8
Office Supplies,2756.46,7
Office Supplies,1865.07,10
Office Supplies,2865.85,6
Office Supplies,1775.6,9
Office Supplies,598.6,5
Office Supplies,1421.11,4
Office Supplies,1984.51,2
Office Supplies,954.05,4
Office Supplies,1290.73,11
Office Supplies,2231.67,10
Office Supplies,1404.27,1
Office Supplies,1724.34,7
Office Supplies,2208.87,7
Office Supplies,1235.97,1
Office Supplies,2236.84,3
Office Supplies,2051.86,3
Office Supplies,2626.59,7
Office Supplies,1539.89,10
Office Supplies,895.2,10
Office Supplies,2963.35,2
Office Supplies,1932.63,6
Office Supplies,717.78,7
Office Supplies,577.76,7
Office Supplies,2535.64,2
Office Supplies,1854.48,9
Office Supplies,2952.46,8
Office Supplies,1830.3,8
Office Supplies,2041.57,3
Office Supplies,2834.49,3
Office Supplies,2284.48,6
Office Supplies,1605.63,5
Office Supplies,885.72,2
Office Supplies,2568.28,10
Office Supplies,1187.22,6
Office Supplies,799.8,9
Furniture,1915.99,1
Furniture,1095.04,1
Office Supplies,2271.04,3
Office Supplies,568.87,6
Office Supplies,1541.24,9
Office Supplies,1724.07,4
Office Supplies,1146.5,9
Office Supplies,2820.05,7
Office Supplies,2320.23,11
Office Supplies,2992.72,9
Office Supplies,2844.72,8
Office Supplies,2627.39,5
Office Supplies,1812.63,3
Office Supplies,1276.99,1
Office Supplies,2700.79,2
Office Supplies,2443.54,1
Office Supplies,2998.65,7
Office Supplies,1618.09,6
Office Supplies,2755.41,2
Office Supplies,2366.37,5
Office Supplies,981.06,11
Office Supplies,785.73,6
Office Supplies,1519.43,7
Office Supplies,2372.16,10
Office Supplies,2980.24,9
Technology,1572.06,4
Office Supplies,875.94,4
Office Supplies,1345.39,11
Office Supplies,1321.33,9
Furniture,798.92,11
Office Supplies,1465.67,6
Office Supplies,1419.33,7
Office Supplies,2190.81,6
Office Supplies,525.42,1
Office Supplies,2112.58,1
Office Supplies,2091.27,3
Office Supplies,1409.35,9
Office Supplies,2463.1,4
Furniture,2198.85,10
Office Supplies,1791.74,11
Office Supplies,2327.42,11
Office Supplies,2141.26,10
Office Supplies,890.83,10
Office Supplies,2567.66,1
Office Supplies,2700.76,1
Office Supplies,1916.53,11
Office Supplies,1251.24,11
Office Supplies,1286.44,2
Furniture,2043.94,3
Office Supplies,2987.58,6
Office Supplies,546.39,6
Office Supplies,779.75,11
Office Supplies,991.85,10
Office Supplies,1158.4,5
Office Supplies,2972.03,2
Office Supplies,1623.92,9
Office Supplies,2121.47,11
Office Supplies,1691.73,6
Technology,2576.59,8
Furniture,2297.16,11
Office Supplies,2499.16,11
Office Supplies,2707.89,9
Office Supplies,2356.16,2
Office Supplies,2262.89,4
Furniture,1922.42,5
Office Supplies,1713.88,5
Office Supplies,2832.29,6
Office Supplies,1603.33,7
Technology,2419.1,6
Office Supplies,992.43,5
Office Supplies,2400.52,1
Office Supplies,2167.56,6
Office Supplies,1552.25,4
Office Supplies,2241.33,8
Office Supplies,2355.28,8
Office Supplies,1304.54,5
Office Supplies,1953.91,6
Office Supplies,1529.83,5
Office Supplies,1755.14,10
Office Supplies,2622.93,5
Office Supplies,2277.51,6
Office Supplies,2330.61,6
Office Supplies,1191.3,7
Technology,1356.75,5
Office Supplies,2915.28,11
Office Supplies,2093.41,11
Office Supplies,2561.78,4
Office Supplies,2319.02,3
Office Supplies,874.13,11
Office Supplies,1549.48,8
Office Supplies,1633.79,4
Office Supplies,1093.54,2
Office Supplies,2142.01,8
Office Supplies,674.96,5
Office Supplies,1497.83,8
Office Supplies,1549.57,11
Office Supplies,1704.7,1
Office Supplies,995.52,8
Office Supplies,2978.35,3
Office Supplies,2463.3,4
Furniture,1092.9,10
Office Supplies,684.63,6
Office Supplies,2667.7,10
Office Supplies,2995.98,7
Office Supplies,948.66,9
Office Supplies,1693.57,9
